symbol,company_name,sector,model_1,model_2,loss_type,sample_size,mean_loss_differential,dm_statistic,raw_p_value,holm_adjusted_p_value,reject,available,unavailable_reason,hac_lag,forecast_horizon,hln_correction_factor,holm_family_size,formal_run_id,formal_cutoff,formal_git_sha,supplementary_package_id,evidence_source
ICT,"International Container Terminal Services, Inc.",Services,arima,naive,squared_error,246,-13.011468791869039,-1.32459046814719,0.18654123619444327,0.9327061809722164,false,true,,4,1,0.9979654098963519,6,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03,formal_company_evidence_verified_against_linked_supplementary
ICT,"International Container Terminal Services, Inc.",Services,lstm,naive,squared_error,246,-14.004835839513358,-1.9193797448647734,0.05609784449038733,0.336587066942324,false,true,,4,1,0.9979654098963519,6,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03,formal_company_evidence_verified_against_linked_supplementary
ICT,"International Container Terminal Services, Inc.",Services,lag_reg,arima,absolute_error,246,0.3128717023438518,0.7826283191910289,0.4346011942103593,1.0,false,true,,4,1,0.9979654098963519,6,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03,formal_company_evidence_verified_against_linked_supplementary
ICT,"International Container Terminal Services, Inc.",Services,lag_reg,lstm,absolute_error,246,0.35648130500134967,0.9755063697971371,0.3302713349140124,1.0,false,true,,4,1,0.9979654098963519,6,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03,formal_company_evidence_verified_against_linked_supplementary
ICT,"International Container Terminal Services, Inc.",Services,lag_reg,naive,absolute_error,246,0.20689273131201535,0.5689443057419036,0.5699151176244123,1.0,false,true,,4,1,0.9979654098963519,6,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03,formal_company_evidence_verified_against_linked_supplementary
ICT,"International Container Terminal Services, Inc.",Services,arima,lstm,absolute_error,246,0.043609602657497824,0.44166703676287605,0.6591197327094754,1.0,false,true,,4,1,0.9979654098963519,6,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03,formal_company_evidence_verified_against_linked_supplementary
ICT,"International Container Terminal Services, Inc.",Services,arima,naive,absolute_error,246,-0.1059789710318365,-0.47949011418548604,0.6320177321385435,1.0,false,true,,4,1,0.9979654098963519,6,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03,formal_company_evidence_verified_against_linked_supplementary
ICT,"International Container Terminal Services, Inc.",Services,lstm,naive,absolute_error,246,-0.14958857368933431,-0.9539644440697223,0.34104189805188617,1.0,false,true,,4,1,0.9979654098963519,6,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03,formal_company_evidence_verified_against_linked_supplementary
JFC,Jollibee Foods Corporation,Industrial,lag_reg,arima,squared_error,246,0.02151827200928086,1.3243577907215252,0.18661835007926333,1.0,false,true,,4,1,0.9979654098963519,6,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03,formal_company_evidence_verified_against_linked_supplementary
JFC,Jollibee Foods Corporation,Industrial,lag_reg,lstm,squared_error,246,-0.09284637713550009,-0.8507629304527345,0.3957317599695829,1.0,false,true,,4,1,0.9979654098963519,6,FORECASTPH_FORMAL_20260911_01,2026-09-11,8359270bffcd43dd41830a01bb2f4e2d4c527b56,FORECASTPH_SUPPLEMENTARY_20260921_03,formal_company_evidence_verified_against_linked_supplementary
